10.945,2147.015,162.764,-14.444,0,0.575,0.493
10.995,2155.135,162.043,-14.403,0,0.574,0.491
11.045,2163.219,161.324,-14.35,0,0.574,0.489
11.095,2171.267,160.608,-14.284,0,0.574,0.487
11.145,2179.28,159.896,-14.226,0,0.573,0.485
11.195,2187.257,159.186,-14.163,0,0.573,0.483
11.245,2195.199,158.48,-14.09,0,0.573,0.481
11.295,2203.105,157.776,-14.035,0,0.573,0.479
11.345,2210.976,157.076,-13.994,0,0.572,0.477
11.395,2218.812,156.377,-13.957,0,0.572,0.475
11.445,2226.614,155.68,-13.937,0,0.572,0.473
11.495,2234.38,154.984,-13.907,0,0.572,0.471
11.545,2242.112,154.289,-13.884,0,0.571,0.469
11.595,2249.809,153.595,-13.862,0,0.571,0.467
11.645,2257.472,152.903,-13.825,0,0.571,0.465
11.695,2265.1,152.213,-13.774,0,0.57,0.463
11.745,2272.693,151.525,-13.734,0,0.57,0.461
11.795,2280.252,150.839,-13.701,0,0.57,0.459
11.845,2287.777,150.155,-13.661,0,0.57,0.457
11.895,2295.268,149.473,-13.617,0,0.569,0.455
11.945,2302.725,148.794,-13.565,0,0.569,0.453
11.995,2310.147,148.117,-13.507,0,0.569,0.451
12.045,2317.536,147.443,-13.455,0,0.569,0.449
12.095,2324.892,146.771,-13.42,0,0.568,0.447
12.145,2332.213,146.101,-13.375,0,0.568,0.446
12.195,2339.502,145.433,-13.339,0,0.568,0.444
12.245,2346.757,144.767,-13.316,0,0.568,0.442
12.295,2353.978,144.102,-13.298,0,0.568,0.44
12.345,2361.167,143.437,-13.281,0,0.567,0.438
12.395,2368.322,142.773,-13.273,0,0.567,0.436
12.445,2375.444,142.11,-13.251,0,0.567,0.434
12.495,2382.533,141.449,-13.209,0,0.567,0.432
12.545,2389.589,140.789,-13.174,0,0.566,0.43
12.595,2396.612,140.131,-13.142,0,0.566,0.428
12.645,2403.602,139.476,-13.086,0,0.566,0.427
12.695,2410.56,138.823,-13.028,0,0.566,0.425
12.745,2417.485,138.173,-12.977,0,0.565,0.423
12.795,2424.377,137.525,-12.932,0,0.565,0.421
12.845,2431.237,136.879,-12.9,0,0.565,0.419
12.895,2438.065,136.235,-12.873,0,0.565,0.417
12.945,2444.861,135.592,-12.839,0,0.565,0.415
12.995,2451.624,134.951,-12.795,0,0.564,0.414
13.045,2458.356,134.312,-12.775,0,0.564,0.412
13.095,2465.056,133.674,-12.755,0,0.564,0.41
13.145,2471.723,133.037,-12.729,0,0.564,0.408
13.195,2478.359,132.401,-12.705,0,0.563,0.406
